(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-947-MONOMER	peptide chain release factor 3	G1G01-947	CCI-CYTOSOL-GN
G1G01-2358-MONOMER	enoyl-CoA hydratase	G1G01-2358	CCI-CYTOSOL-GN
G1G01-4414-MONOMER	microcin C ABC transporter substrate-binding protein	G1G01-4414	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-2706-MONOMER	transposase	G1G01-2706	CCI-CYTOSOL-GN
G1G01-1107-MONOMER	multicopper oxidase	G1G01-1107	CCO-MEMBRANE
G1G01-4755-MONOMER	TauD/TfdA family dioxygenase	G1G01-4755	CCI-CYTOSOL-GN
G1G01-1454-MONOMER	exodeoxyribonuclease I	G1G01-1454	CCI-CYTOSOL-GN
G1G01-3042-MONOMER	membrane protein	G1G01-3042	CCI-PM-BAC-NEG-GN
G1G01-5116-MONOMER	AMP nucleosidase	G1G01-5116	CCI-CYTOSOL-GN
G1G01-338-MONOMER	hypothetical protein	G1G01-338	
G1G01-1797-MONOMER	acyltransferase	G1G01-1797	CCI-PM-BAC-NEG-GN
G1G01-5453-MONOMER	cell division protein FtsX	G1G01-5453	CCI-PM-BAC-NEG-GN
G1G01-3718-MONOMER	type II secretion system protein	G1G01-3718	CCI-CYTOSOL-GN
G1G01-1994-MONOMER	hypothetical protein	G1G01-1994	
G1G01-588-MONOMER	inorganic pyrophosphatase	G1G01-588	CCI-CYTOSOL-GN
G1G01-4054-MONOMER	L-ornithine 5-monooxygenase	G1G01-4054	CCI-CYTOSOL-GN
G1G01-932-MONOMER	GTPase Der	G1G01-932	CCI-PM-BAC-NEG-GN
G1G01-2342-MONOMER	alpha/beta family hydrolase	G1G01-2342	
G1G01-440-MONOMER	peptidyl-prolyl cis-trans isomerase	G1G01-440	CCI-PERI-BAC-GN
G1G01-269-MONOMER	osmolarity sensor protein EnvZ	G1G01-269	CCI-PM-BAC-NEG-GN
G1G01-1093-MONOMER	glucose-6-phosphate 1-epimerase	G1G01-1093	CCI-CYTOSOL-GN
G1G01-4739-MONOMER	MFS transporter	G1G01-4739	CCO-MEMBRANE
G1G01-1439-MONOMER	2-dehydropantoate 2-reductase	G1G01-1439	CCI-CYTOSOL-GN
G1G01-3027-MONOMER	urease accessory protein UreJ	G1G01-3027	CCI-PM-BAC-NEG-GN
G1G01-5100-MONOMER	hypothetical protein	G1G01-5100	CCI-CYTOSOL-GN
G1G01-3365-MONOMER	oxidoreductase	G1G01-3365	CCI-CYTOSOL-GN
G1G01-1782-MONOMER	transporter	G1G01-1782	CCI-PM-BAC-NEG-GN
G1G01-5439-MONOMER	pyrroline-5-carboxylate reductase	G1G01-5439	CCI-CYTOSOL-GN
G1G01-3702-MONOMER	&sigma;<sup>54</sup>-dependent transcriptional regulator	G1G01-3702	CCI-CYTOSOL-GN
G1G01-1975-MONOMER	protease HtpX	G1G01-1975	CCI-PM-BAC-NEG-GN
G1G01-5780-MONOMER	ATP synthase subunit gamma	G1G01-5780	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-4037-MONOMER	syringomycin biosynthesis protein 2	G1G01-4037	CCI-CYTOSOL-GN
G1G01-918-MONOMER	iron-sulfur cluster assembly scaffold protein	G1G01-918	CCI-CYTOSOL-GN
G1G01-2327-MONOMER	formate dehydrogenase delta subunit	G1G01-2327	
G1G01-4386-MONOMER	NADH-quinone oxidoreductase subunit A	G1G01-4386	CCI-PM-BAC-NEG-GN
G1G01-2674-MONOMER	hypothetical protein	G1G01-2674	
G1G01-1079-MONOMER	heme uptake outer membrane receptor	G1G01-1079	CCI-OUTER-MEM-GN
G1G01-4723-MONOMER	transposase	G1G01-4723	CCI-CYTOSOL-GN
G1G01-1423-MONOMER	lipid II flippase	G1G01-1423	CCI-PM-BAC-NEG-GN
G1G01-3012-MONOMER	galactose-binding protein regulator	G1G01-3012	CCI-CYTOSOL-GN
G1G01-5087-MONOMER	N-methylproline demethylase	G1G01-5087	CCI-CYTOSOL-GN
G1G01-3350-MONOMER	polysaccharide transporter	G1G01-3350	CCI-PM-BAC-NEG-GN
G1G01-1767-MONOMER	NLP/P60 family protein	G1G01-1767	
G1G01-5423-MONOMER	shikimate kinase	G1G01-5423	CCI-CYTOSOL-GN
G1G01-3689-MONOMER	multidrug RND transporter membrane fusion protein MexB	G1G01-3689	CCI-PM-BAC-NEG-GN
G1G01-196-MONOMER	efflux pump	G1G01-196	CCI-PM-BAC-NEG-GN
G1G01-5766-MONOMER	NAD-dependent acetyl-CoA synthetase deacetylase subunit	G1G01-5766	CCI-CYTOSOL-GN
G1G01-4022-MONOMER	hypothetical protein	G1G01-4022	CCI-PM-BAC-NEG-GN
G1G01-902-MONOMER	membrane protein	G1G01-902	CCI-PM-BAC-NEG-GN
G1G01-2311-MONOMER	chorismate mutase family protein	G1G01-2311	
G1G01-4371-MONOMER	glutathione S-transferase family protein	G1G01-4371	CCI-CYTOSOL-GN
G1G01-266-MONOMER	hypothetical protein	G1G01-266	
G1G01-1064-MONOMER	hypothetical protein	G1G01-1064	
G1G01-4708-MONOMER	amino acid ABC transporter permease	G1G01-4708	CCI-PM-BAC-NEG-GN
G1G01-1408-MONOMER	ClpXP protease specificity-enhancing factor	G1G01-1408	
G1G01-2999-MONOMER	outer membrane protein OprJ	G1G01-2999	CCI-OUTER-MEM-GN
G1G01-5071-MONOMER	hypothetical protein	G1G01-5071	
G1G01-3336-MONOMER	methylglyoxal reductase	G1G01-3336	CCI-CYTOSOL-GN
G1G01-1752-MONOMER	cysteine synthase B	G1G01-1752	CCI-CYTOSOL-GN
G1G01-5409-MONOMER	hypothetical protein	G1G01-5409	CCI-PM-BAC-NEG-GN
G1G01-3673-MONOMER	hypothetical protein	G1G01-3673	CCI-CYTOSOL-GN
G1G01-1944-MONOMER	hypothetical protein	G1G01-1944	
G1G01-575-MONOMER	transposase	G1G01-575	
G1G01-4008-MONOMER	3-hydroxybutyryl-CoA dehydrogenase	G1G01-4008	CCI-CYTOSOL-GN
G1G01-889-MONOMER	protoheme IX farnesyltransferase	G1G01-889	CCI-PM-BAC-NEG-GN
G1G01-2298-MONOMER	copper sensor histidine kinase CinS	G1G01-2298	CCI-PM-BAC-NEG-GN
G1G01-4351-MONOMER	hypothetical protein	G1G01-4351	
G1G01-2645-MONOMER	hypothetical protein	G1G01-2645	
G1G01-1048-MONOMER	DNA-binding protein HU	G1G01-1048	CCI-CYTOSOL-GN
G1G01-4694-MONOMER	hypothetical protein	G1G01-4694	
G1G01-1394-MONOMER	AsnC family transcriptional regulator	G1G01-1394	CCI-CYTOSOL-GN
G1G01-2984-MONOMER	alpha/beta family hydrolase	G1G01-2984	CCI-CYTOSOL-GN
G1G01-5055-MONOMER	chaperone protein DnaK	G1G01-5055	CCI-CYTOSOL-GN
G1G01-3320-MONOMER	hypothetical protein	G1G01-3320	
G1G01-1737-MONOMER	SprT family protein	G1G01-1737	CCI-CYTOSOL-GN
G1G01-5395-MONOMER	hypothetical protein	G1G01-5395	CCI-PM-BAC-NEG-GN
G1G01-3659-MONOMER	RND family multidrug permease MexF	G1G01-3659	CCI-PM-BAC-NEG-GN
G1G01-193-MONOMER	transcriptional regulator	G1G01-193	CCI-CYTOSOL-GN
G1G01-5735-MONOMER	copper resistance outer membrane protein B2	G1G01-5735	CCI-OUTER-MEM-GN
G1G01-3994-MONOMER	transpeptidase	G1G01-3994	CCI-PM-BAC-NEG-GN
G1G01-874-MONOMER	hypothetical protein	G1G01-874	
G1G01-2283-MONOMER	cell division inhibitor SulA	G1G01-2283	
G1G01-4335-MONOMER	hypothetical protein	G1G01-4335	CCO-MEMBRANE
G1G01-2629-MONOMER	ribose pyranase	G1G01-2629	CCI-CYTOSOL-GN
G1G01-1033-MONOMER	phospholipid ABC transporter permease	G1G01-1033	CCI-PM-BAC-NEG-GN
G1G01-4679-MONOMER	branched-chain alpha-keto acid dehydrogenase complex subunit alpha	G1G01-4679	CCI-CYTOSOL-GN
G1G01-138-MONOMER	alginate biosynthesis sensor protein KinB	G1G01-138	CCI-PM-BAC-NEG-GN
G1G01-2969-MONOMER	oxidoreductase	G1G01-2969	CCI-CYTOSOL-GN
G1G01-5037-MONOMER	ribosome maturation factor	G1G01-5037	CCI-CYTOSOL-GN
G1G01-3305-MONOMER	hypothetical protein	G1G01-3305	
G1G01-1720-MONOMER	RNA polymerase &sigma;<sup>38</sup> factor	G1G01-1720	CCI-CYTOSOL-GN
G1G01-5380-MONOMER	histidine utilization repressor	G1G01-5380	CCI-CYTOSOL-GN
G1G01-3644-MONOMER	hypothetical protein	G1G01-3644	
G1G01-1914-MONOMER	hypothetical protein	G1G01-1914	
G1G01-572-MONOMER	membrane protein	G1G01-572	CCI-PM-BAC-NEG-GN
G1G01-398-MONOMER	pimeloyl-ACP methyl ester esterase	G1G01-398	CCI-CYTOSOL-GN
G1G01-86-MONOMER	tryptophan synthase subunit alpha	G1G01-86	CCI-CYTOSOL-GN
G1G01-2269-MONOMER	CheA signal transduction histidine kinase	G1G01-2269	
G1G01-432-MONOMER	type IV piliation protein	G1G01-432	CCI-CYTOSOL-GN
G1G01-2612-MONOMER	hypothetical protein	G1G01-2612	
G1G01-1019-MONOMER	hypothetical protein	G1G01-1019	CCI-CYTOSOL-GN
G1G01-4664-MONOMER	flagellar basal-body rod protein FlgF	G1G01-4664	CCI-PERI-BAC-GN // CCO-CELL-PROJECTION
G1G01-1365-MONOMER	alginate biosynthesis protein AlgF	G1G01-1365	CCI-PERI-BAC-GN
G1G01-2954-MONOMER	glycine betaine ABC transporter ATP-binding protein/permease	G1G01-2954	CCI-PM-BAC-NEG-GN
G1G01-5021-MONOMER	pantothenate synthetase	G1G01-5021	CCI-CYTOSOL-GN
G1G01-3290-MONOMER	hypothetical protein	G1G01-3290	CCI-CYTOSOL-GN
G1G01-1704-MONOMER	acetyl-CoA carboxylase carboxyltransferase subunit alpha	G1G01-1704	CCI-CYTOSOL-GN
G1G01-5365-MONOMER	methyl-accepting chemotaxis protein	G1G01-5365	CCI-PM-BAC-NEG-GN
G1G01-3628-MONOMER	hypothetical protein	G1G01-3628	CCI-OUTER-MEM-GN
G1G01-190-MONOMER	ABC transporter permease	G1G01-190	CCI-PM-BAC-NEG-GN
G1G01-5705-MONOMER	hypothetical protein	G1G01-5705	
G1G01-3965-MONOMER	hypothetical protein	G1G01-3965	
G1G01-845-MONOMER	sensor histidine kinase	G1G01-845	CCI-CYTOSOL-GN
G1G01-2253-MONOMER	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	G1G01-2253	CCI-CYTOSOL-GN
G1G01-4305-MONOMER	glyoxalase family protein	G1G01-4305	
G1G01-2599-MONOMER	hypothetical protein	G1G01-2599	
G1G01-1004-MONOMER	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	G1G01-1004	CCI-CYTOSOL-GN
G1G01-465-MONOMER	short-chain dehydrogenase/reductase family oxidoreductase	G1G01-465	CCI-CYTOSOL-GN
G1G01-1350-MONOMER	fusaric acid resistance protein	G1G01-1350	CCI-OUTER-MEM-GN
G1G01-294-MONOMER	ferric siderophore receptor	G1G01-294	CCI-OUTER-MEM-GN
G1G01-5006-MONOMER	hemin import ATP-binding protein HmuV	G1G01-5006	CCI-PM-BAC-NEG-GN
G1G01-3276-MONOMER	hypothetical protein	G1G01-3276	CCI-PERI-BAC-GN
G1G01-1689-MONOMER	elongation factor Ts	G1G01-1689	CCI-CYTOSOL-GN
G1G01-5350-MONOMER	poly(R)-3-hydroxyalkanoate polymerase 2	G1G01-5350	CCI-CYTOSOL-GN
G1G01-3613-MONOMER	gluconate 2-dehydrogenase cytochrome c subunit	G1G01-3613	CCI-PM-BAC-NEG-GN
G1G01-5691-MONOMER	5-(carboxyamino)imidazole ribonucleotide synthase	G1G01-5691	CCI-PM-BAC-NEG-GN
G1G01-3950-MONOMER	hypothetical protein	G1G01-3950	
G1G01-83-MONOMER	transcriptional regulator	G1G01-83	CCI-CYTOSOL-GN
G1G01-2239-MONOMER	hypothetical protein	G1G01-2239	CCI-CYTOSOL-GN
G1G01-4291-MONOMER	transposase	G1G01-4291	
G1G01-4635-MONOMER	flagellar protein FliO	G1G01-4635	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
G1G01-1335-MONOMER	LysE family transporter	G1G01-1335	CCI-PM-BAC-NEG-GN
G1G01-2925-MONOMER	ribose-phosphate pyrophosphokinase family protein	G1G01-2925	CCI-CYTOSOL-GN
G1G01-499-MONOMER	30S ribosomal protein S10	G1G01-499	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-326-MONOMER	choline/betaine/carnitine ABC transporter permease	G1G01-326	CCI-PM-BAC-NEG-GN
G1G01-1672-MONOMER	hypothetical protein	G1G01-1672	
G1G01-5336-MONOMER	twitching motility protein PilH	G1G01-5336	CCI-CYTOSOL-GN
G1G01-36-MONOMER	bactoprenol glycosyl-transferase	G1G01-36	CCI-PM-BAC-NEG-GN
G1G01-5677-MONOMER	two-component system sensor histidine kinase	G1G01-5677	CCI-PM-BAC-NEG-GN
G1G01-3936-MONOMER	serine/threonine protein phosphatase	G1G01-3936	CCI-CYTOSOL-GN
G1G01-815-MONOMER	MerR family transcriptional regulator	G1G01-815	CCI-CYTOSOL-GN
G1G01-2222-MONOMER	ribonuclease activity regulator	G1G01-2222	CCI-CYTOSOL-GN
G1G01-4276-MONOMER	ATP-dependent Clp protease adapter protein ClpS	G1G01-4276	CCI-CYTOSOL-GN
G1G01-4619-MONOMER	RNA polymerase &sigma;<sup>28</sup> factor	G1G01-4619	CCI-CYTOSOL-GN
G1G01-1318-MONOMER	hypothetical protein	G1G01-1318	CCI-PERI-BAC-GN // CCO-MEMBRANE
G1G01-2570-MONOMER	type II 3-dehydroquinate dehydratase	G1G01-2570	CCI-CYTOSOL-GN
G1G01-2910-MONOMER	hypothetical protein	G1G01-2910	
G1G01-4973-MONOMER	LysR family transcriptional regulator	G1G01-4973	CCI-CYTOSOL-GN
G1G01-1658-MONOMER	hypothetical protein	G1G01-1658	CCI-PM-BAC-NEG-GN
G1G01-5321-MONOMER	adenosylhomocysteinase	G1G01-5321	CCI-CYTOSOL-GN
G1G01-3248-MONOMER	hypothetical protein	G1G01-3248	
G1G01-3585-MONOMER	acyl-CoA dehydrogenase	G1G01-3585	CCI-CYTOSOL-GN
G1G01-5662-MONOMER	epimerase/dehydratase-like protein	G1G01-5662	
G1G01-3920-MONOMER	hypothetical protein	G1G01-3920	
G1G01-800-MONOMER	TPR repeat-containing protein	G1G01-800	
G1G01-2208-MONOMER	AraC family transcriptional regulator	G1G01-2208	CCI-CYTOSOL-GN
G1G01-4261-MONOMER	TusC-like tRNA 2-thiouridine(34) synthase	G1G01-4261	CCI-PM-BAC-NEG-GN
G1G01-4604-MONOMER	protoheme IX ABC transporter permease	G1G01-4604	CCI-PM-BAC-NEG-GN
G1G01-1302-MONOMER	Holliday junction ATP-dependent DNA helicase RuvB	G1G01-1302	CCI-CYTOSOL-GN
G1G01-2556-MONOMER	DNA polymerase II	G1G01-2556	CCI-CYTOSOL-GN
G1G01-2897-MONOMER	arsenate reductase	G1G01-2897	CCI-CYTOSOL-GN
G1G01-4959-MONOMER	ferredoxin--NADP(+) reductase	G1G01-4959	CCI-CYTOSOL-GN
G1G01-1643-MONOMER	Cro/CI family transcriptional regulator	G1G01-1643	CCI-CYTOSOL-GN
G1G01-5306-MONOMER	hypothetical protein	G1G01-5306	
G1G01-3233-MONOMER	hypothetical protein	G1G01-3233	
G1G01-3570-MONOMER	membrane protein	G1G01-3570	CCI-PM-BAC-NEG-GN
G1G01-5648-MONOMER	orotate phosphoribosyltransferase	G1G01-5648	CCI-CYTOSOL-GN
G1G01-786-MONOMER	polyphosphate kinase	G1G01-786	CCI-CYTOSOL-GN
G1G01-3907-MONOMER	LysR family transcriptional regulator	G1G01-3907	CCI-CYTOSOL-GN
G1G01-2194-MONOMER	C4-dicarboxylate transport protein	G1G01-2194	CCI-PM-BAC-NEG-GN
G1G01-4245-MONOMER	transposase	G1G01-4245	
G1G01-4590-MONOMER	peptidylprolyl isomerase	G1G01-4590	
G1G01-1288-MONOMER	DNA polymerase IV	G1G01-1288	CCI-CYTOSOL-GN
G1G01-2540-MONOMER	acyltransferase	G1G01-2540	CCI-PM-BAC-NEG-GN
G1G01-2882-MONOMER	LysR family transcriptional regulator	G1G01-2882	CCI-CYTOSOL-GN
G1G01-4944-MONOMER	bifunctional dihydrofolate reductase/dihydromonapterin reductase	G1G01-4944	CCI-CYTOSOL-GN
G1G01-1628-MONOMER	hypothetical protein	G1G01-1628	
G1G01-5292-MONOMER	acyl-CoA dehydrogenase family protein	G1G01-5292	CCI-CYTOSOL-GN
G1G01-3219-MONOMER	hypothetical protein	G1G01-3219	
G1G01-3554-MONOMER	GTP cyclohydrolase I	G1G01-3554	
G1G01-5633-MONOMER	transcriptional regulator	G1G01-5633	CCI-CYTOSOL-GN
G1G01-770-MONOMER	hypothetical protein	G1G01-770	
G1G01-3893-MONOMER	cytosine/purine/uracil/thiamine/allantoin permease family protein	G1G01-3893	CCI-PM-BAC-NEG-GN
G1G01-218-MONOMER	hypothetical protein	G1G01-218	CCI-CYTOSOL-GN
G1G01-423-MONOMER	sensory box protein	G1G01-423	CCI-PM-BAC-NEG-GN
G1G01-1270-MONOMER	C4-dicarboxylate transport protein	G1G01-1270	CCI-PM-BAC-NEG-GN
G1G01-2526-MONOMER	hypothetical protein	G1G01-2526	
G1G01-4579-MONOMER	urea transporter	G1G01-4579	CCI-PM-BAC-NEG-GN
G1G01-2868-MONOMER	hypothetical protein	G1G01-2868	CCI-CYTOSOL-GN
G1G01-4929-MONOMER	hypothetical protein	G1G01-4929	CCI-CYTOSOL-GN
G1G01-1613-MONOMER	major cold shock protein	G1G01-1613	CCI-CYTOSOL-GN
G1G01-3203-MONOMER	carbon-nitrogen hydrolase family protein	G1G01-3203	CCI-CYTOSOL-GN
G1G01-5280-MONOMER	toluene tolerance protein	G1G01-5280	CCI-CYTOSOL-GN
G1G01-354-MONOMER	low specificity l-threonine aldolase	G1G01-354	CCI-CYTOSOL-GN
G1G01-5619-MONOMER	multidrug resistance protein NorM	G1G01-5619	CCI-PM-BAC-NEG-GN
G1G01-756-MONOMER	FKBP-type peptidyl-prolyl cis-trans isomerase	G1G01-756	CCI-CYTOSOL-GN
G1G01-3879-MONOMER	cytosine/purine/uracil/thiamine/allantoin permease family protein	G1G01-3879	CCI-PM-BAC-NEG-GN
G1G01-2165-MONOMER	von Willebrand factor type A domain-containing protein	G1G01-2165	CCI-PM-BAC-NEG-GN
G1G01-4214-MONOMER	HTH-type transcriptional repressor NicS	G1G01-4214	CCI-CYTOSOL-GN
G1G01-1255-MONOMER	porin-like protein	G1G01-1255	CCI-OUTER-MEM-GN
G1G01-2510-MONOMER	sensor histidine kinase	G1G01-2510	CCI-PM-BAC-NEG-GN
G1G01-4564-MONOMER	allantoinase	G1G01-4564	CCI-CYTOSOL-GN
G1G01-2853-MONOMER	response regulator PedS2	G1G01-2853	CCI-CYTOSOL-GN
G1G01-4914-MONOMER	ferric siderophore receptor	G1G01-4914	CCI-OUTER-MEM-GN
G1G01-16-MONOMER	transposon protein	G1G01-16	CCI-CYTOSOL-GN
G1G01-319-MONOMER	oxalate/formate antiporter	G1G01-319	CCI-PM-BAC-NEG-GN
G1G01-5266-MONOMER	outer membrane efflux protein	G1G01-5266	CCI-OUTER-MEM-GN
G1G01-3525-MONOMER	YeeE/YedE family protein	G1G01-3525	CCI-PM-BAC-NEG-GN
G1G01-5604-MONOMER	hypothetical protein	G1G01-5604	
G1G01-3864-MONOMER	hypothetical protein	G1G01-3864	
G1G01-215-MONOMER	putative transporter	G1G01-215	CCI-PM-BAC-NEG-GN
G1G01-743-MONOMER	serine hydroxymethyltransferase	G1G01-743	CCI-CYTOSOL-GN
G1G01-420-MONOMER	serine acetyltransferase	G1G01-420	CCI-CYTOSOL-GN
G1G01-124-MONOMER	zinc uptake regulation protein Zur	G1G01-124	CCI-CYTOSOL-GN
G1G01-2497-MONOMER	aconitate hydratase	G1G01-2497	CCI-CYTOSOL-GN
G1G01-4548-MONOMER	membrane protein	G1G01-4548	CCI-PM-BAC-NEG-GN
G1G01-2839-MONOMER	phosphate ABC transporter permease	G1G01-2839	CCI-PM-BAC-NEG-GN
G1G01-49-MONOMER	hypothetical protein	G1G01-49	
G1G01-1585-MONOMER	GGDEF domain-containing response regulator	G1G01-1585	CCI-CYTOSOL-GN
G1G01-4544-MONOMER	hypothetical protein	G1G01-4544	
G1G01-2836-MONOMER	hypothetical protein	G1G01-2836	
G1G01-4897-MONOMER	D-isomer specific 2-hydroxyacid dehydrogenase family protein	G1G01-4897	CCI-CYTOSOL-GN
G1G01-1582-MONOMER	CheW domain-containing protein	G1G01-1582	CCI-CYTOSOL-GN
G1G01-3172-MONOMER	alcohol dehydrogenase	G1G01-3172	CCI-CYTOSOL-GN
G1G01-5248-MONOMER	hypothetical protein	G1G01-5248	
G1G01-3508-MONOMER	phenylacetate-CoA ligase	G1G01-3508	CCI-CYTOSOL-GN
G1G01-5587-MONOMER	hypothetical protein	G1G01-5587	CCI-CYTOSOL-GN
G1G01-3847-MONOMER	membrane protein	G1G01-3847	CCI-PM-BAC-NEG-GN
G1G01-2129-MONOMER	colicin V production membrane protein	G1G01-2129	CCI-PM-BAC-NEG-GN
G1G01-726-MONOMER	fimbrial-like protein	G1G01-726	
G1G01-4182-MONOMER	hypothetical protein	G1G01-4182	
G1G01-1218-MONOMER	branched-chain amino acid ABC transporter permease	G1G01-1218	CCI-PM-BAC-NEG-GN
G1G01-2479-MONOMER	acyl-CoA thioesterase I/protease I/lysophospholipase L1	G1G01-2479	CCI-PERI-BAC-GN
G1G01-453-MONOMER	phosphoglycolate phosphatase	G1G01-453	CCI-CYTOSOL-GN
G1G01-2821-MONOMER	GNAT family acetyltransferase	G1G01-2821	
G1G01-4882-MONOMER	hypothetical protein	G1G01-4882	CCI-CYTOSOL-GN
G1G01-1568-MONOMER	hypothetical protein	G1G01-1568	CCI-CYTOSOL-GN
G1G01-3158-MONOMER	hypothetical protein	G1G01-3158	CCI-CYTOSOL-GN
G1G01-5233-MONOMER	integral membrane ATP-dependent zinc metallopeptidase	G1G01-5233	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-3494-MONOMER	Clp protease	G1G01-3494	CCI-CYTOSOL-GN
G1G01-5570-MONOMER	putative hydrolase	G1G01-5570	CCI-CYTOSOL-GN
G1G01-3832-MONOMER	amino acid ABC transporter permease	G1G01-3832	CCI-PM-BAC-NEG-GN
G1G01-2114-MONOMER	PAS/PAC/GAF sensor-containing diguanylate cyclase/phosphodiesterase	G1G01-2114	CCI-PM-BAC-NEG-GN
G1G01-71-MONOMER	peptide deformylase	G1G01-71	CCI-CYTOSOL-GN
G1G01-4168-MONOMER	hypothetical protein	G1G01-4168	
G1G01-2464-MONOMER	DNA binding regulator subunit beta B	G1G01-2464	CCI-CYTOSOL-GN
G1G01-4515-MONOMER	conserved protein of unknown function with Rhs repeat-associated core domain	G1G01-4515	
G1G01-2806-MONOMER	hypothetical protein	G1G01-2806	CCI-CYTOSOL-GN
G1G01-1206-MONOMER	OmpA family protein	G1G01-1206	CCI-PM-BAC-NEG-GN
G1G01-4867-MONOMER	peptide deformylase	G1G01-4867	CCI-CYTOSOL-GN
G1G01-1553-MONOMER	signal recognition particle protein FfH	G1G01-1553	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
G1G01-3140-MONOMER	alkylhydroperoxidase AhpD domain-containing protein	G1G01-3140	
G1G01-5214-MONOMER	50S ribosomal protein L9	G1G01-5214	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-348-MONOMER	glycine-betaine dioxygenase subunit	G1G01-348	CCI-CYTOSOL-GN
G1G01-5555-MONOMER	ribosome-associated ATPase	G1G01-5555	CCI-PM-BAC-NEG-GN
G1G01-3818-MONOMER	membrane protein	G1G01-3818	CCI-PM-BAC-NEG-GN
G1G01-2094-MONOMER	molybdenum cofactor biosynthesis protein A	G1G01-2094	CCI-CYTOSOL-GN
G1G01-695-MONOMER	leader peptidase/N-methyltransferase	G1G01-695	CCI-PM-BAC-NEG-GN
G1G01-4153-MONOMER	hypothetical protein	G1G01-4153	
G1G01-2449-MONOMER	hypothetical protein	G1G01-2449	CCI-CYTOSOL-GN
G1G01-4500-MONOMER	hypothetical protein	G1G01-4500	
G1G01-2792-MONOMER	hypothetical protein	G1G01-2792	
G1G01-1192-MONOMER	resolvase family site-specific recombinase	G1G01-1192	
G1G01-4852-MONOMER	hypothetical protein	G1G01-4852	CCI-OUTER-MEM-GN
G1G01-1539-MONOMER	hypothetical protein	G1G01-1539	
G1G01-3126-MONOMER	peptidyl-tRNA hydrolase	G1G01-3126	
G1G01-520-MONOMER	protein translocase subunit SecY	G1G01-520	CCI-PM-BAC-NEG-GN
G1G01-3465-MONOMER	hypothetical protein	G1G01-3465	
G1G01-1887-MONOMER	dTDP-4-dehydrorhamnose reductase	G1G01-1887	CCI-CYTOSOL-GN
G1G01-554-MONOMER	hypothetical protein	G1G01-554	CCI-PERI-BAC-GN
G1G01-3803-MONOMER	MFS transporter	G1G01-3803	CCI-PM-BAC-NEG-GN
G1G01-2079-MONOMER	ferredoxin	G1G01-2079	CCI-CYTOSOL-GN
G1G01-676-MONOMER	branched-chain amino acid ABC transporter substrate-binding protein	G1G01-676	
G1G01-4139-MONOMER	hypothetical protein	G1G01-4139	
G1G01-2434-MONOMER	head-to-tail joining protein	G1G01-2434	
G1G01-4487-MONOMER	lipase/esterase family protein	G1G01-4487	CCI-CYTOSOL-GN
G1G01-2778-MONOMER	ABC transporter permease/ATP-binding protein	G1G01-2778	CCI-PM-BAC-NEG-GN
G1G01-1178-MONOMER	AotO-related protein	G1G01-1178	CCI-CYTOSOL-GN
G1G01-4835-MONOMER	ATP-dependent DEAD-box RNA helicase	G1G01-4835	CCI-CYTOSOL-GN
G1G01-1524-MONOMER	signal peptidase I	G1G01-1524	CCI-PM-BAC-NEG-GN
G1G01-3111-MONOMER	GSH-dependent disulfide bond oxidoreductase	G1G01-3111	CCI-CYTOSOL-GN
G1G01-5186-MONOMER	L-amino acid N-acyltransferase	G1G01-5186	
G1G01-3450-MONOMER	aliphatic sulfonate-binding protein	G1G01-3450	CCI-PERI-BAC-GN // CCO-MEMBRANE
G1G01-1871-MONOMER	bifunctional chorismate mutase/prephenate dehydratase	G1G01-1871	CCI-CYTOSOL-GN
G1G01-5524-MONOMER	spermidine/putrescine ABC transporter ATP binding protein	G1G01-5524	CCI-PM-BAC-NEG-GN
G1G01-379-MONOMER	heptose kinase WapQ	G1G01-379	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-2064-MONOMER	LysR family transcriptional regulator	G1G01-2064	CCI-CYTOSOL-GN
G1G01-661-MONOMER	lipoprotein signal peptidase	G1G01-661	CCI-PM-BAC-NEG-GN
G1G01-4124-MONOMER	assembly protein	G1G01-4124	CCI-CYTOSOL-GN
G1G01-242-MONOMER	methionine ABC transporter ATP-binding protein	G1G01-242	CCI-PM-BAC-NEG-GN
G1G01-4472-MONOMER	ubiquinone oxidoreductase electron transfer flavoprotein	G1G01-4472	CCI-CYTOSOL-GN
G1G01-2763-MONOMER	hypothetical protein	G1G01-2763	CCI-PM-BAC-NEG-GN
G1G01-1162-MONOMER	hypothetical protein	G1G01-1162	CCI-PM-BAC-NEG-GN
G1G01-482-MONOMER	elongation factor Tu-A	G1G01-482	CCI-CYTOSOL-GN
G1G01-151-MONOMER	insulinase family metalloprotease	G1G01-151	CCO-MEMBRANE
